pain au chocolat 2 pack, 1.50 , kg, 3.00, 2pk, 1
cinnamon swirls 2 pack, 2.00 , kg, 4.00, 2pk, 1
caramel pretzel cookies 6 pack, 0.58 , kg, 3.50, 6pk, 1
peanut butter cookies 6 pack, 0.58 , kg, 3.50, 6pk, 1
raspberry danish 2 pack, 2.00 , kg, 4.00, 2pk, 1
maple pecan danishes 2 pack, 2.00 , kg, 4.00, 2pk, 1
stone baked potato and chive batard 300g, 11.7, kg, 3.50, 0.3kg, 1
wholemeal quinoa stone baked pane di casa rolls 4 pack, 1.05 , kg, 4.20, 4pk, 1
hi top wholemeal sandwich bread loaf 680g, 36.8, kg, 2.50, 0.68kg, 1
soft round rolls 12 pack, 0.32 , kg, 3.80, 2pk, 1
hi top white sandwich loaf 680g, 3.7, kg, 2.50, 0.68kg, 1
low gi harvest grain block loaf 650g, 4.6, kg, 3.00, 0.65kg, 1
hi top white toast loaf 680g, 3.7, kg, 2.50, 0.68kg, 1
low gi harvest grain sandwich loaf 650g, 4.6, kg, 3.00, 0.65kg, 1
hi top wholemeal toast loaf 680g, 3.7, kg, 2.50, 0.68kg, 1
hi top white block loaf 680g, 3.7, kg, 2.50, 0.68kg, 1
hi top wholemeal block loaf, 3.7, kg, 2.50, 1Ea, 1
mini raspberry and white chocolate hot cross buns 9 pack, 0.39 , kg, 3.50, 9pk, 1
hand crafted orange flourless cake 550g, 160.0, kg, 16.00, 0.55kg, 1
hand crafted belgian chocolate swirl cheesecake 875g, 160.0, kg, 16.00, 0.875kg, 1
belgian chocolate gateau 800g, 20.0, kg, 16.00, 0.8kg, 1
tarte aux poire 570g, 28.1, kg, 16.00, 0.57kg, 1
raspberry ganache gateau 750g, 21.3, kg, 16.00, 0.75kg, 1
handcrafted petits fours orange and opera cakes 100g, 50.0, kg, 5.00, 0.1kg, 1
blueberry muffins 2 pack 150g, 2.50 , kg, 5.00, 0.15kg, 1
fruit bread 450g, 12.2, kg, 5.49, 0.45kg, 1
chia rice pizza bases gluten free 2 pack, 3.40 , kg, 6.80, 2pk, 1
chia rye bread wheat free 620g, 9.7, kg, 5.99, 0.62kg, 1
gingerbread girl 97% fat free 35g, 28.6, kg, 1.00, 0.035kg, 1
white sandwich bread 680g, 4.4, kg, 2.99, 0.68kg, 1
wholemeal sandwich bread 680g, 4.4, kg, 2.99, 0.68kg, 1
